	Superworm_1a	Superworm_1b	Superworm_2a	Superworm_2b	Superworm_3a	Superworm_3b	Mealworm_1a	Mealworm_2a	Mealworm_2b	Mealworm_3a
Superworm_MAG_0001	0.393392107	0.335687968	0.083170294	0.980787272	1.67E-03	0.049154398	0	0	0	0
Superworm_MAG_0002	7.440856826	1.776619979	2.448585151	28.1970306	2.881191143	5.249928585	0	0	0	0
Superworm_MAG_0003	0.45803324	0.132800408	0.081330081	0.102928144	0.016323521	0.076330553	0	0	0	0
Superworm_MAG_0004	3.054355442	11.14490621	27.0903366	28.57962159	2.182832611	20.48355473	0	0	0	0
Superworm_MAG_0005	0.437325874	0.81882573	0.809443901	110.1699865	0.034521794	2.10933308	0	0	0	0
Superworm_MAG_0006	0.573366893	0.236173825	1.979203945	35.41852866	0.100575432	1.070530147	0	0	0	0
Superworm_MAG_0007	716.6650049	496.5695761	938.1474747	86.13433103	751.2217767	429.2145948	0	0	0	0
Superworm_MAG_0008	5.0485337	1.949034524	6.985411461	0.679947998	0.26562578	0.865521505	0	0	0	0
Superworm_MAG_0009	10.34302155	22.9738844	2.180890926	34.41382425	0.687562367	4.873208897	0	0	0	0
Superworm_MAG_0010	3.282260483	96.03513548	8.421559877	37.7289133	0.475156376	8.800572363	0	0	0	0
Superworm_MAG_0011	3.08E-03	0.006874713	1.21E-04	7.56E-05	0.008838921	0.009382862	0	0	0	0
Superworm_MAG_0012	27.01521067	4.744265661	3.126801299	2.249542521	3.785345572	11.79712578	0	0	0	0
Superworm_MAG_0013	1.26E-03	5.936597506	1.19E-03	2.31E-04	2.15E-04	5.44E-04	0	0	0	0
Superworm_MAG_0014	5.198084182	3.652478339	30.11237205	31.02089163	1.697993528	4.66461122	0	0	0	0
Superworm_MAG_0015	2.67E-03	0.00693693	6.30E-04	1.78E-03	0.002893479	1.89E-03	0	0	0	0
Superworm_MAG_0016	2.564796033	0.3899981	0.128054464	0.011738016	0.824305577	0.909938338	0	0	0	0
Superworm_MAG_0017	5.857578269	1.108111867	1.959769413	0.42194533	0.71100911	4.276294237	0	0	0	0
Superworm_MAG_0018	1.880657551	2.47218983	0.007976724	1.77E-03	0.066140239	0.099302678	0	0	0	0
Superworm_MAG_0019	1.782658168	12.10343716	0.223488402	0.332220161	0.772111989	0.389236509	0	0	0	0
Superworm_MAG_0020	10.34049359	12.33930721	2.375116128	5.694921098	2.628718631	3.399571667	0	0	0	0
Superworm_MAG_0021	0.270014299	0.137757397	0.238817761	0.086994595	0.053663547	0.377450838	0	0	0	0
Superworm_MAG_0022	0.039795711	0.01835607	0.161713788	1.143283662	0.003636317	0.612906631	0	0	0	0
Superworm_MAG_0023	0.007438431	0.011191428	0.005156172	0.027014945	0.182511316	47.73901896	0	0	0	0
Superworm_MAG_0024	9.120281616	6.298157792	21.14649555	0.299127108	9.862267181	6.20069045	0	0	0	0
Superworm_MAG_0025	2.136497499	10.0230748	0.570634953	51.30353539	0.412063022	4.131052514	0	0	0	0
Superworm_MAG_0026	0.659083169	0.884756939	11.20260237	150.1749166	0.120843508	0.946270485	0	0	0	0
Superworm_MAG_0027	0.255687109	10.04049011	0.968811093	0.058750883	0.398370753	1.974995732	0	0	0	0
Superworm_MAG_0028	0.042723494	7.212229579	10.46260323	0.172916714	0.005103766	0.00559768	0	0	0	0
Superworm_MAG_0029	0.015354104	1.48E-03	2.41E-04	3.43E-04	0	1.89E-04	0	0	0	0
