Replicate	Treatment	Spin_condition	Dilution_TSA	Num_Colonies_TSA	Dilution_PDA	Num_Colonies_PDA	CFU_TSA	CFU_PDA	Ratio
1	Standard	No_spin	0.00001	46	1	0	46000000	10	4600000
2	Standard	No_spin	0.0001	102	1	3	10200000	30	340000
3	Standard	No_spin	0.0001	76	1	0	7600000	10	760000
1	Standard	Hi_spin	0.00001	38	1	0	38000000	10	3800000
2	Standard	Hi_spin	0.0001	25	1	0	2500000	10	250000
3	Standard	Hi_spin	0.0001	22	1	0	2200000	10	220000
1	PS	No_spin	0.00001	45	1	39	45000000	390	115384.62
2	PS	No_spin	0.0001	2	1	22	200000	220	909.09
3	PS	No_spin	0.0001	76	1	3	7600000	30	253333.33
1	PS	Hi_spin	0.0001	28	1	0	2800000	10	280000
2	PS	Hi_spin	0.0001	34	1	1	3400000	10	340000
3	PS	Hi_spin	0.0001	17	1	1	1700000	10	170000
