	Control_1a	Control_1b	Control_2a	Control_2b	Control_3a	Control_3b	PB_1a	PB_1b	PB_2a	PB_2b	PB_3a	PB_3b	Standard_1a	Standard_2a	Standard_2b	Standard_3a	Styrofoam_1a	Styrofoam_1b	Styrofoam_2a	Styrofoam_2b	Styrofoam_3a	Styrofoam_3b	SControl_1a	SControl_1b	SControl_2a	SControl_2b	SControl_3a	SControl_3b	SPB_1a	SPB_1b	SPB_2a	SPB_2b	SPB_3a	SPB_3b	SStandard_1a	SStandard_1b	SStandard_2a	SStandard_2b	SStandard_3a	SStandard_3b	SStyrofoam_1a	SStyrofoam_1b	SStyrofoam_2a	SStyrofoam_2b	SStyrofoam_3a	SStyrofoam_3b
Mealworm_MAG_0001	1.96E-05	5.43E-06	0.294676172	0.01870885	0.057545648	0.007830657	9.64E-05	0.000178454	0.009503314	0.022169572	0.001318775	7.90E-05	0	0.266632172	0.004677804	1.12E-06	0.00150071	4.40E-05	0.078334809	0.026496577	6.02E-05	2.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0002	0.107584986	0.211065161	0.000488754	0.216522572	0.833861808	0.364393849	0.3919081	0.744297654	0.219702201	0.421994627	0.397009986	0.120770101	0.022425063	4.16E-06	0.001587073	3.23E-05	0.026571053	0.031835758	0.221209698	0.116945573	0.083399214	0.047902916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0003	1.20E-05	2.52E-05	0.000872474	0.079938724	6.59E-05	0.000127589	2.57E-05	3.51E-05	0.003399431	0.010640981	0.000308237	3.58E-05	0	0.019685712	0.006170221	6.40E-06	6.68E-06	2.81E-05	0.007900664	0.015154828	1.26E-05	1.86E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0004	1.167251302	2.558322289	7.914212375	6.388927954	2.766919165	7.155507797	2.752217851	0.304351899	4.981091984	1.231816227	0.073429427	0.615554582	0.5232577	5.155831329	1.48638232	0.490055493	0.035673468	0.060372391	8.707783619	0.820473262	1.336233079	0.25243702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0005	0.514453495	0.370834944	0.401930988	0.078042754	0.023818867	0.151829522	0.144390715	0.115728316	0.0201492	0.074669832	0.009205169	0.023442931	0.000237647	0.00028783	7.19E-05	0.000477043	0.036385278	0.039825377	0.0370236	0.023742649	0.009994206	0.029819238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0006	0.005179479	0.002226771	0.000612012	0.055972329	5.53E-05	0.0009243	0.002027907	0.005042922	0.041869691	0.019043331	0.001386129	0.000474626	0.044394608	0.112471436	0.582695797	2.08E-05	0.000235086	0.001432028	0.001659614	0.008758095	0.000687381	0.00037118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0007	7.117277729	3.196274801	1.472086045	2.08473396	3.512260594	3.050100241	2.290089553	6.84438847	1.55149928	4.394510415	2.588337558	1.833743376	0.298473984	0.33129987	0.001188199	0.01234538	0.666631956	1.286033482	2.163548093	2.504347261	0.148719853	2.930953569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0008	0.125168104	0.583992713	0.024823883	0.308214562	0.420483283	0.165836871	0.614806921	0.358165327	1.240559321	0.543301959	0.042688842	0.350586714	0.042924313	0.008551524	0.012069451	0.016942534	0.029258462	0.198375234	0.166856426	0.834628867	0.041208874	0.02762035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0009	2.45409443	2.863021943	2.485806295	4.389122146	0.473519699	2.805616365	1.714443208	3.443582464	0.957158968	8.053204071	16.70963331	5.274666949	0.058715439	0.009340792	0.034851125	1.553892174	5.182617093	9.772115972	10.11570609	11.6696719	2.614515148	2.855802643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0010	0.011138537	0.188364061	0.008382892	0.040829629	0.027793423	0.007767791	2.226197249	0.029349517	0.01244128	0.003116036	0.008781654	1.259545473	0.009436496	0.007485796	0.000258718	0.016324923	0.010850107	0.016502351	0.003650946	0.009905183	0.006828802	0.011927618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0011	0.001124142	0.111631632	8.53E-06	5.22E-06	1.45E-05	0.000707522	0.00213842	3.02E-05	1.28E-06	4.39E-06	4.27E-06	6.96E-06	1.80E-06	0	5.28E-05	0	7.27E-06	0.000127305	6.71E-07	0.000102807	8.84E-06	0.000164972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0012	0.031825933	0.331764401	0.001645023	0.008315046	0.002559446	0.003642768	0.023444437	0.023869464	0.00359199	0.00360945	0.002488625	0.004510396	0.003514373	0.001371064	0.000570205	0.003027933	0.001230533	0.019443644	0.002852291	0.00366524	0.001626615	0.005744095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0013	2.666895734	1.174029218	6.219327133	1.920313713	4.412248194	1.656931652	3.987298181	3.827232008	3.898199614	0.113947821	0.712544768	0.14664673	1.886531518	0.005085678	0.000385437	3.792976704	11.21261403	1.700236055	1.431565947	0.547427315	5.168594923	0.85694056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0014	3.244519596	3.907948571	0.228277568	1.068379324	3.712043079	0.736017593	4.849838706	0.507532951	2.124529478	5.699787592	1.39341867	5.147540716	10.40603676	2.054440517	0.000762338	4.905069616	2.526880886	8.681263405	2.734602111	1.852791546	2.513074772	3.325939583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0015	0.266356528	0.458243042	0.471986103	0.18484318	0.692918053	0.078264908	0.127555624	0.077198397	0.515173516	0.391924045	0.242884932	0.121583089	0.064222827	0.000968386	0.129434483	0.217996938	0.199654605	0.179269272	0.860742947	0.305372675	0.038034408	0.016253044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0016	2.113840437	2.115265626	0.016154289	1.938973375	1.22753792	0.60400753	1.733079123	1.745152284	1.625758534	5.377450032	1.249568571	0.556347561	0.025906661	2.169507801	15.2201504	0.453806066	0.095822755	2.445641773	0.575692344	1.713709302	0.968807088	0.099025409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mealworm_MAG_0017	0.036623901	0.005510632	3.649335914	1.314752856	0.051805157	0.058858695	0.063117302	0.158759426	0.106993602	0.805960929	0.096050638	0.498753822	2.29E-06	2.686457431	0.052683935	0.00030573	2.748239334	0.029412303	1.101707618	0.587988676	0.083097038	0.003011035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
