	Control_1a	Control_1b	Control_2a	Control_2b	Control_3a	Control_3b	PB_1a	PB_1b	PB_2a	PB_2b	PB_3a	PB_3b	Standard_1a	Standard_1b	Standard_2a	Standard_2b	Standard_3a	Standard_3b	Styrofoam_1a	Styrofoam_1b	Styrofoam_2a	Styrofoam_2b	Styrofoam_3a	Styrofoam_3b
Superworm_MAG_0001	1.490947223	0.400477669	13.88486435	14.62612846	0.433813768	0.170654681	0.408922814	0.167203414	0.393888887	2.830666213	0.268623593	0.266035143	0.393392114	0.33568798	0.083170299	0.980787251	1.67E-03	0.049154405	0.672578675	0.094543791	0.88857045	0.237614484	1.087332038	0.141580373
Superworm_MAG_0002	10.39763068	1.398723195	12.81301563	4.748011947	17.57830506	5.850642963	7.793899461	1.248895836	8.849029952	5.427955196	6.985587716	4.955408604	7.440856829	1.776619974	2.448585142	28.19703062	2.881191153	5.249928582	1.236067349	0.471927747	1.020558807	18.02323779	8.085475745	7.897246553
Superworm_MAG_0003	1.349426977	1.647262325	0.468244812	0.200931682	0.439659918	0.415012165	1.627939086	7.560260756	1.266434543	7.093565803	0.109390027	0.152173627	0.458033243	0.132800393	0.081330085	0.102928116	0.016323512	0.076330541	3.629356624	0.994134368	0.486105683	0.231653881	0.075605607	0.038334005
Superworm_MAG_0004	6.080420619	1.882692114	10.6814325	1.834872432	5.114982202	8.982860355	24.21730253	2.9364489	14.5877408	5.940997245	1.995812634	4.844085123	3.054355444	11.14490621	27.09033661	28.5796216	2.182832612	20.48355473	7.635574274	6.278797264	11.54914273	20.1915667	17.6081682	4.060373667
Superworm_MAG_0005	0.223337242	0.113478566	26.3148226	426.9541372	1.202749921	0.684424865	0.441427304	0.313817883	1.138189683	30.57048468	1.63074378	0.975410874	0.437325869	0.81882573	0.809443905	110.1699865	0.034521794	2.109333072	2.547638636	0.569435244	6.619483376	4.160399202	6.132309299	7.804316503
Superworm_MAG_0006	0.547145882	0.112003197	1.754476368	9.907391952	17.65595325	1.603899839	0.681912152	0.322270385	4.853878697	2.971108094	20.51111945	5.643892334	0.573366871	0.236173821	1.979203932	35.41852866	0.100575432	1.070530147	2.254080526	0.605486659	14.69011524	25.09881257	29.71670236	3.273537067
Superworm_MAG_0007	1454.923383	654.0058312	419.9850906	198.203948	675.6832927	824.581179	663.4887301	1252.089361	250.7916094	410.9945893	645.3467482	282.3132231	716.6650047	496.569576	938.1474746	86.13433103	751.2217767	429.2145948	506.6710849	328.571675	291.9970429	51.34850108	214.5661026	391.7632686
Superworm_MAG_0008	1.33397135	0.562335103	0.646797659	1.21655375	0.811019559	0.231352544	6.359347005	0.719445223	1.494905883	1.189408558	0.145929816	0.164563656	5.048533693	1.949034523	6.985411467	0.679947992	0.26562579	0.865521506	12.03282225	0.931757075	1.530611249	5.326104669	0.512634014	0.158395773
Superworm_MAG_0009	27.37410861	7.761489739	13.47081259	14.11761985	35.03772972	8.182381241	46.8350452	38.03451218	27.81285338	49.46348062	13.29707462	6.000277529	10.34302154	22.9738844	2.18089093	34.41382428	0.687562355	4.873208891	10.54358172	4.189031042	9.292019674	16.04250112	6.308464987	2.44011587
Superworm_MAG_0010	0.904716496	0.310203076	14.17689658	11.58658949	11.86035634	1.794302201	0.854227127	0.543922111	179.4517877	80.96345426	7.367414071	7.204062683	3.282260479	96.03513548	8.421559878	37.7289133	0.475156376	8.800572378	4.747078403	2.288885407	8.57816867	13.1840312	9.332858779	21.73096258
Superworm_MAG_0011	0.885206281	0.146937564	0.403069759	0.055269677	0.034524662	0.030173194	0.562321371	1.750966942	0.180676544	0.907432004	0.063262476	0.262870925	3.08E-03	0.006874714	1.21E-04	7.55E-05	0.008838918	0.009382851	5.875855663	1.395687777	0.191358792	0.024582768	0.005711301	0.319349343
Superworm_MAG_0012	10.5860592	2.166917007	2.183997009	3.500239409	7.085367213	1.402665635	12.46194715	4.247194328	1.665969211	2.256154114	2.053181511	1.659180501	27.01521065	4.744265671	3.126801304	2.2495425	3.785345568	11.79712578	1.881023751	5.276421858	0.549688769	4.120943991	5.023389895	5.613378023
Superworm_MAG_0013	0.036291952	0.011486675	0.750066676	0.040285882	0.009737268	0.012245852	0.176508605	0.205835935	0.007624776	0.1880778	3.23E-03	0.00991881	1.25E-03	5.936597515	1.19E-03	2.31E-04	2.15E-04	5.45E-04	0.009902306	0.002624111	0.024376177	0.033667841	3.89E-03	0.023369442
Superworm_MAG_0014	8.715078147	12.69511902	7.436750728	2.425067243	1.850252164	0.732338256	20.50467116	13.64010324	7.298556657	22.79667983	15.33899999	2.797326717	5.198084191	3.652478341	30.11237204	31.02089161	1.697993524	4.664611204	10.6429048	4.655011167	14.01589821	7.388363448	7.88710082	2.217814846
Superworm_MAG_0015	0.023036551	1.26E-03	0.005378905	4.34E-03	0.528542324	4.929339738	2.08E-03	9.27E-04	1.52E-03	0.004674083	0.322993965	3.616590175	2.67E-03	0.006936933	6.31E-04	1.78E-03	0.00289348	1.89E-03	0.009644933	1.48E-03	1.63E-03	9.27E-04	4.08E-04	1.37E-03
Superworm_MAG_0016	5.781293546	1.222369272	3.036068045	6.693497126	3.648985929	2.210423929	1.761838603	1.418964279	7.762585444	3.704003701	4.788399522	7.718138772	2.56479604	0.389998092	0.128054465	0.01173804	0.824305568	0.909938344	1.390374258	0.343629402	0.150294961	0.085461168	8.015536772	0.76290395
Superworm_MAG_0017	15.91605039	0.980815573	5.010895042	7.687927836	1.982662959	2.107079372	2.936774238	4.360072406	1.456227647	1.694791829	4.067488753	3.525170494	5.85757826	1.108111861	1.959769408	0.421945306	0.711009112	4.276294227	5.991012463	1.927683529	1.344872485	0.257501541	8.612134959	4.283246653
Superworm_MAG_0018	10.34420743	6.939997893	8.145884706	3.687530528	13.39385951	3.985807854	7.157621797	19.67648032	9.350146634	22.41352653	0.381737367	0.999895613	1.880657557	2.472189834	0.007976712	1.77E-03	0.066140237	0.099302678	1.230555534	0.753060694	5.277702825	0.763511664	0.972420272	0.11012294
Superworm_MAG_0019	30.43905401	25.41236193	19.51333328	12.63354658	5.278546423	1.327846437	8.795095029	64.64710569	19.38171741	24.03119684	0.904839741	1.73433004	1.782658148	12.10343715	0.223488408	0.332220187	0.772111984	0.389236493	14.13378654	11.13444437	23.53984815	3.282587815	2.846781539	0.907968527
Superworm_MAG_0020	36.45054759	9.634793332	6.70019423	5.552467602	6.384735533	2.968966527	69.49480059	29.59058637	8.809689606	13.56173885	1.543600945	1.889896877	10.34049362	12.3393072	2.375116116	5.694921097	2.628718638	3.39957167	26.47428638	8.365379025	17.06166132	4.577149158	5.948393833	0.897316849
Superworm_MAG_0021	2.790175314	0.46554004	1.094040985	0.4005746	0.558965486	0.344803932	0.795648757	0.806074971	0.41975774	70.61595483	0.172593524	0.124977743	0.270014318	0.137757381	0.238817771	0.086994579	0.053663533	0.377450844	0.274091761	0.051802686	0.193172298	2.430293051	0.130313994	0.151905288
Superworm_MAG_0022	0.676381971	0.33232926	7.642991181	6.398560062	2.503523823	1.230787699	0.648687866	0.671262052	0.382364828	1.355469353	2.178932621	1.256969101	0.039795731	0.018356072	0.161713792	1.143283637	0.003636306	0.612906617	7.464928558	0.108274642	12.76686606	12.73440112	1.574404053	0.204302206
Superworm_MAG_0023	0.005561896	0.002349859	0.426271127	0.402840162	0.015248723	0.915379842	0.014200585	3.31E-03	0.201191857	0.112979177	21.83329776	5.380922799	0.007438402	0.011191413	0.005156165	0.027014922	0.182511326	47.73901895	0.01697308	0.004108026	0.067976847	0.044326111	0.1176958	0.037107481
Superworm_MAG_0024	43.24649213	14.08916844	10.0732725	16.56912459	13.73317956	6.629495758	7.378809335	11.9840314	2.449878794	6.142043065	16.68410035	10.44651471	9.120281619	6.298157791	21.14649554	0.29912713	9.862267173	6.200690442	14.53457776	14.2807174	4.757069842	0.542876667	11.81722611	8.294997774
Superworm_MAG_0025	11.79805602	1.453951746	65.01061207	4.363435853	1.255370524	3.792784449	9.423445438	4.695529648	2.238134356	1.64993154	4.199825737	7.915505811	2.13649752	10.02307478	0.57063494	51.30353537	0.412063034	4.131052521	2.496383794	0.623503218	26.01825632	58.85248669	11.44060653	20.50872642
Superworm_MAG_0026	1.344143417	0.15419638	13.88873792	15.98015067	80.08283547	6.074735668	21.52530031	18.44045073	30.93013107	22.23295704	129.2303477	18.89276873	0.659083174	0.884756928	11.20260237	150.1749166	0.120843507	0.946270495	142.7709832	0.808135901	3.950649394	108.3838479	1.084841815	1.660381057
Superworm_MAG_0027	6.131445533	1.880342755	1.499544707	2.824034979	25.87211217	2.868597348	1.234966156	1.266685314	0.05561888	3.880015964	1.545599494	1.395117422	0.255687097	10.0404901	0.968811107	0.058750858	0.398370755	1.974995747	6.000427967	1.771711472	4.524446663	3.746560079	26.12502463	28.84799552
Superworm_MAG_0028	0.180490075	3.780672023	0.090985908	4.56666467	1.333919026	1.620412328	12.68061551	2.369784823	0.191638406	0.411876752	13.03882034	0.062832843	0.042723511	7.212229578	10.46260323	0.172916736	0.005103772	0.005597685	0.690667357	0.138507434	4.666705657	0.252683753	50.32314481	12.15426845
